Id_sensora,Id_stacji,longitude,latitude,parametr,wartosc,data_pomiaru
672,117,17.029250,51.129378,SO2,0.37536,2024-01-28_20:00:00
14395,117,17.029250,51.129378,PM10,25.5735,2024-01-28_21:00:00
670,117,17.029250,51.129378,PM2.5,21.6256,2024-01-28_21:00:00
658,117,17.029250,51.129378,C6H6,1.22157,2024-01-28_21:00:00
660,117,17.029250,51.129378,CO,618.051,2024-01-28_21:00:00
665,117,17.029250,51.129378,NO2,23.1118,2024-01-28_21:00:00
297,52,16.180513,51.204503,SO2,6.91083,2024-01-28_21:00:00
14397,52,16.180513,51.204503,PM10,33.0752,2024-01-28_20:00:00
621,109,16.269677,50.768729,SO2,6.64074,2024-01-28_21:00:00
618,109,16.269677,50.768729,PM10,18.5564,2024-01-28_20:00:00
450,74,15.431719,51.317630,SO2,1.09208,2024-01-28_21:00:00
14733,9153,15.765608,50.913433,SO2,9.06216,2024-01-28_21:00:00
14730,9153,15.765608,50.913433,PM10,64.8922,2024-01-28_21:00:00
14731,9153,15.765608,50.913433,PM2.5,62.6808,2024-01-28_21:00:00
14734,9153,15.765608,50.913433,C6H6,2.48365,2024-01-28_21:00:00
14707,9153,15.765608,50.913433,CO,658.4290000000001,2024-01-28_21:00:00
14727,9153,15.765608,50.913433,NO2,27.2322,2024-01-28_21:00:00
998,158,17.995708,53.134083,SO2,5.6,2024-01-28_21:00:00
995,158,17.995708,53.134083,PM10,27.0,2024-01-28_21:00:00
996,158,17.995708,53.134083,PM2.5,23.4,2024-01-28_21:00:00
2088,296,19.450992,51.775378,SO2,8.1,2024-01-28_21:00:00
2087,296,19.450992,51.775378,PM10,39.8,2024-01-28_21:00:00
2382,355,19.421231,51.856692,SO2,11.3,2024-01-28_21:00:00
2377,355,19.421231,51.856692,PM10,46.9,2024-01-28_21:00:00
2378,355,19.421231,51.856692,PM2.5,42.3,2024-01-28_21:00:00
2039,291,19.233217,52.143258,SO2,2.5,2024-01-28_21:00:00
2035,291,19.233217,52.143258,PM10,19.0,2024-01-28_21:00:00
2222,319,19.517556,51.291175,SO2,6.4,2024-01-28_21:00:00
16633,331,19.448714,51.067417,SO2,8.47,2024-01-28_21:00:00
16630,331,19.448714,51.067417,PM10,18.0,2024-01-28_21:00:00
